condition_id,state_id,sqi_threshold,age_seconds,controller,validation_membership_sha256,mae,return,time_in_40_60_fraction,time_below_40_fraction,total_propofol_mg,action_sd,action_boundary_fraction,core_clip_fraction,validation_subject_count,validation_case_count,bis_counterfactual_action_delta_mean,evidence_scope
Goff_A30_S0,S0,,30,constant_1.5_mg_per_10s,266c253d403f6b24eb591eac061ab2689f0fa433734b07c77523086fc8653ddc,14.398798806838228,8.113805501163295,0.5416666666666667,0.0,90.0,0.0,0.0,0.0,2.0,4.0,0.0,synthetic_engineering_only_not_vitaldb_or_clinical_evidence
Goff_A30_S0,S0,,30,p_like_base1.5_gain0.08,266c253d403f6b24eb591eac061ab2689f0fa433734b07c77523086fc8653ddc,5.600252760463684,31.094120219257107,0.8374999999999999,0.0,116.7266363799572,1.0423533569349646,0.0,0.0,2.0,4.0,1.579999964684248,synthetic_engineering_only_not_vitaldb_or_clinical_evidence
Goff_A20_S0,S0,,20,constant_1.5_mg_per_10s,266c253d403f6b24eb591eac061ab2689f0fa433734b07c77523086fc8653ddc,14.398798806838228,8.113805501163295,0.5416666666666667,0.0,90.0,0.0,0.0,0.0,2.0,4.0,0.0,synthetic_engineering_only_not_vitaldb_or_clinical_evidence
Goff_A20_S0,S0,,20,p_like_base1.5_gain0.08,266c253d403f6b24eb591eac061ab2689f0fa433734b07c77523086fc8653ddc,5.705630095743718,31.488607896564652,0.8333333333333333,0.0,115.51947617530823,0.9941905354840859,0.0,0.0,2.0,4.0,1.4133333017428715,synthetic_engineering_only_not_vitaldb_or_clinical_evidence
G50_A30_S0,S0,50,30,constant_1.5_mg_per_10s,266c253d403f6b24eb591eac061ab2689f0fa433734b07c77523086fc8653ddc,14.398798806838228,8.113805501163295,0.5416666666666667,0.0,90.0,0.0,0.0,0.0,2.0,4.0,0.0,synthetic_engineering_only_not_vitaldb_or_clinical_evidence
G50_A30_S0,S0,50,30,p_like_base1.5_gain0.08,266c253d403f6b24eb591eac061ab2689f0fa433734b07c77523086fc8653ddc,6.264300974157382,29.98465841495114,0.825,0.0,115.12605866789818,1.0082919756123836,0.0,0.0,2.0,4.0,1.4066666352252166,synthetic_engineering_only_not_vitaldb_or_clinical_evidence
G50_A20_S0,S0,50,20,constant_1.5_mg_per_10s,266c253d403f6b24eb591eac061ab2689f0fa433734b07c77523086fc8653ddc,14.398798806838228,8.113805501163295,0.5416666666666667,0.0,90.0,0.0,0.0,0.0,2.0,4.0,0.0,synthetic_engineering_only_not_vitaldb_or_clinical_evidence
G50_A20_S0,S0,50,20,p_like_base1.5_gain0.08,266c253d403f6b24eb591eac061ab2689f0fa433734b07c77523086fc8653ddc,6.3801474887340595,29.71780829902496,0.8166666666666667,0.0,113.98730081319809,0.9654507881393141,0.0,0.0,2.0,4.0,1.2466666388014953,synthetic_engineering_only_not_vitaldb_or_clinical_evidence
Goff_A30_S1,S1,,30,constant_1.5_mg_per_10s,266c253d403f6b24eb591eac061ab2689f0fa433734b07c77523086fc8653ddc,14.398798806838228,8.113805501163295,0.5416666666666667,0.0,90.0,0.0,0.0,0.0,2.0,4.0,0.0,synthetic_engineering_only_not_vitaldb_or_clinical_evidence
Goff_A30_S1,S1,,30,p_like_base1.5_gain0.08,266c253d403f6b24eb591eac061ab2689f0fa433734b07c77523086fc8653ddc,5.600252760463684,31.094120219257107,0.8374999999999999,0.0,116.7266363799572,1.0423533569349646,0.0,0.0,2.0,4.0,1.579999964684248,synthetic_engineering_only_not_vitaldb_or_clinical_evidence
Goff_A20_S1,S1,,20,constant_1.5_mg_per_10s,266c253d403f6b24eb591eac061ab2689f0fa433734b07c77523086fc8653ddc,14.398798806838228,8.113805501163295,0.5416666666666667,0.0,90.0,0.0,0.0,0.0,2.0,4.0,0.0,synthetic_engineering_only_not_vitaldb_or_clinical_evidence
Goff_A20_S1,S1,,20,p_like_base1.5_gain0.08,266c253d403f6b24eb591eac061ab2689f0fa433734b07c77523086fc8653ddc,5.705630095743718,31.488607896564652,0.8333333333333333,0.0,115.51947617530823,0.9941905354840859,0.0,0.0,2.0,4.0,1.4133333017428715,synthetic_engineering_only_not_vitaldb_or_clinical_evidence
G50_A30_S1,S1,50,30,constant_1.5_mg_per_10s,266c253d403f6b24eb591eac061ab2689f0fa433734b07c77523086fc8653ddc,14.398798806838228,8.113805501163295,0.5416666666666667,0.0,90.0,0.0,0.0,0.0,2.0,4.0,0.0,synthetic_engineering_only_not_vitaldb_or_clinical_evidence
G50_A30_S1,S1,50,30,p_like_base1.5_gain0.08,266c253d403f6b24eb591eac061ab2689f0fa433734b07c77523086fc8653ddc,6.264300974157382,29.98465841495114,0.825,0.0,115.12605866789818,1.0082919756123836,0.0,0.0,2.0,4.0,1.4066666352252166,synthetic_engineering_only_not_vitaldb_or_clinical_evidence
G50_A20_S1,S1,50,20,constant_1.5_mg_per_10s,266c253d403f6b24eb591eac061ab2689f0fa433734b07c77523086fc8653ddc,14.398798806838228,8.113805501163295,0.5416666666666667,0.0,90.0,0.0,0.0,0.0,2.0,4.0,0.0,synthetic_engineering_only_not_vitaldb_or_clinical_evidence
G50_A20_S1,S1,50,20,p_like_base1.5_gain0.08,266c253d403f6b24eb591eac061ab2689f0fa433734b07c77523086fc8653ddc,6.3801474887340595,29.71780829902496,0.8166666666666667,0.0,113.98730081319809,0.9654507881393141,0.0,0.0,2.0,4.0,1.2466666388014953,synthetic_engineering_only_not_vitaldb_or_clinical_evidence
