condition_id,state_id,sqi_threshold,age_seconds,seed,actual_timesteps,elapsed_seconds,steps_per_second,mae,return,time_in_40_60_fraction,time_below_40_fraction,total_propofol_mg,action_sd,action_boundary_fraction,core_clip_fraction,bis_counterfactual_action_delta_mean,evidence_scope
Goff_A30_S0,S0,,30,45,32768,34.25942329999998,956.466771581646,13.640466720008924,8.080917090241112,0.5625,0.0,91.05468440055847,0.19734620060379524,0.0,0.0,0.0019221529364585876,synthetic_engineering_only_not_vitaldb_or_clinical_evidence
Goff_A20_S0,S0,,20,45,32768,33.96070989999998,964.8797123643171,11.900600406294936,15.487442699534583,0.6166666666666667,0.0,102.31416231393814,0.12219074983131725,0.0,0.0,0.011669455965360006,synthetic_engineering_only_not_vitaldb_or_clinical_evidence
G50_A30_S0,S0,50,30,45,32768,34.312850100000105,954.9775056429924,12.929858041058711,10.31409374772332,0.5958333333333333,0.0,94.04493860900402,0.19800694135401076,0.0,0.0,0.08624464819828669,synthetic_engineering_only_not_vitaldb_or_clinical_evidence
G50_A20_S0,S0,50,20,45,32768,34.01490250000006,963.3424643801328,10.543896061866818,16.341379440045884,0.6583333333333333,0.0,104.69373968243599,0.30737468354489494,0.0,0.0,0.08470546603202819,synthetic_engineering_only_not_vitaldb_or_clinical_evidence
Goff_A30_S1,S1,,30,45,32768,34.79903400000012,941.6353339003573,14.918495325535154,10.68931440104485,0.5416666666666667,0.0,91.43146152794361,0.27648721114577623,0.029166666666666667,0.0,0.006897776325543722,synthetic_engineering_only_not_vitaldb_or_clinical_evidence
Goff_A20_S1,S1,,20,45,32768,34.67178749999994,945.0911638172696,19.239814965776176,4.006543106371953,0.2833333333333333,0.0,71.89280576258898,0.23875024480752788,0.0,0.0,0.006300156315167745,synthetic_engineering_only_not_vitaldb_or_clinical_evidence
G50_A30_S1,S1,50,30,45,32768,34.841216699999904,940.4952841385729,16.46788409476212,5.428467063005443,0.4791666666666667,0.0,80.28273325785995,0.2580229592363647,0.0,0.0,0.08600613450010618,synthetic_engineering_only_not_vitaldb_or_clinical_evidence
G50_A20_S1,S1,50,20,45,32768,34.552694800000154,948.348607530312,20.639918730444442,3.3978642685692044,0.0,0.0,62.21472165733576,0.3376879998861506,0.016666666666666666,0.0,0.286858120188117,synthetic_engineering_only_not_vitaldb_or_clinical_evidence
Goff_A30_S0,S0,,30,46,32768,32.921013499999844,995.3521023889546,13.559673285033105,12.781186736079661,0.575,0.0,96.2634063437581,0.13340362193296798,0.004166666666666667,0.0,0.011767482260862987,synthetic_engineering_only_not_vitaldb_or_clinical_evidence
Goff_A20_S0,S0,,20,46,32768,33.170026300000245,987.8798317383233,15.267280679199287,6.804344520483639,0.5125,0.0,86.88937301188707,0.4033226586346884,0.0,0.0,0.002446290850639343,synthetic_engineering_only_not_vitaldb_or_clinical_evidence
G50_A30_S0,S0,50,30,46,32768,33.25447239999994,985.3712188198799,12.68533058591522,14.492004467573446,0.6000000000000001,0.0,98.37767073977739,0.42299233129576874,0.0,0.0,0.21929594973723093,synthetic_engineering_only_not_vitaldb_or_clinical_evidence
G50_A20_S0,S0,50,20,46,32768,33.34431799999993,982.7161557180467,13.032976727031453,14.454540329497702,0.6,0.0,97.23038063943386,0.3459618182021171,0.0,0.0,0.04591963986555735,synthetic_engineering_only_not_vitaldb_or_clinical_evidence
Goff_A30_S1,S1,,30,46,32768,34.5185277999999,949.2872983997913,46.834894340793404,1.2545774606960816,0.0,0.0,0.33869877085089684,0.03048150109733685,0.9875,0.0,0.0,synthetic_engineering_only_not_vitaldb_or_clinical_evidence
Goff_A20_S1,S1,,20,46,32768,34.569076900000255,947.8991902152804,46.91670882405171,1.2522630450483097,0.0,0.0,0.22717024479061365,0.02865393596487592,0.9791666666666666,0.0,0.0,synthetic_engineering_only_not_vitaldb_or_clinical_evidence
G50_A30_S1,S1,50,30,46,32768,34.69293489999973,944.5150747393313,43.674889940830475,1.3460071692191393,0.0,0.0,5.288025149609894,0.1887719122005677,0.7166666666666666,0.0,0.008346107134517904,synthetic_engineering_only_not_vitaldb_or_clinical_evidence
G50_A20_S1,S1,50,20,46,32768,34.59477739999966,947.1949948144579,44.9134591116698,1.3084002805984332,0.0,0.0,2.8807961652055383,0.18428254876863398,0.8708333333333333,0.0,0.0,synthetic_engineering_only_not_vitaldb_or_clinical_evidence
Goff_A30_S0,S0,,30,47,32768,33.903556099999605,966.5062833925076,10.836404816714213,15.261873438397766,0.6666666666666667,0.0,110.46248090267181,0.17249635792238305,0.0,0.0,0.031468793253103894,synthetic_engineering_only_not_vitaldb_or_clinical_evidence
Goff_A20_S0,S0,,20,47,32768,34.02797970000029,962.9722448670593,13.158544448093616,11.573596545909139,0.5875,0.0,94.58524882793427,0.11494283270862668,0.0,0.0,0.11952871978282928,synthetic_engineering_only_not_vitaldb_or_clinical_evidence
G50_A30_S0,S0,50,30,47,32768,34.1688379000002,959.0024716643878,11.279459310266141,16.184583244112435,0.6416666666666666,0.0,103.3519614636898,0.21650237718486431,0.0,0.0,0.0585367610057195,synthetic_engineering_only_not_vitaldb_or_clinical_evidence
G50_A20_S0,S0,50,20,47,32768,34.103402599999754,960.8425406795109,11.457901345257117,15.94000000035074,0.6458333333333333,0.0,105.25268323719501,0.4626916927543131,0.0,0.0,0.039158911506334944,synthetic_engineering_only_not_vitaldb_or_clinical_evidence
Goff_A30_S1,S1,,30,47,32768,34.7681834,942.4708683514366,13.547540593849465,13.712330881336793,0.5916666666666667,0.0,95.90944001078606,0.2812534214146065,0.016666666666666666,0.0,0.015271384020646412,synthetic_engineering_only_not_vitaldb_or_clinical_evidence
Goff_A20_S1,S1,,20,47,32768,34.46198090000007,950.8449353240728,11.613524308694256,16.27688299043736,0.6833333333333333,0.0,95.48300834745169,0.5799012719632928,0.016666666666666666,0.0,0.4930870960156123,synthetic_engineering_only_not_vitaldb_or_clinical_evidence
G50_A30_S1,S1,50,30,47,32768,34.642846799999916,945.8806947701561,13.019836552540472,17.345531298491046,0.6208333333333333,0.0,96.63852963596582,0.42694085515483776,0.020833333333333336,0.0,0.24483947356541952,synthetic_engineering_only_not_vitaldb_or_clinical_evidence
G50_A20_S1,S1,50,20,47,32768,34.51109350000024,949.4917916756178,11.131884089285922,19.06949991906884,0.6666666666666666,0.0,102.30395764112473,0.3617781402618132,0.0,0.0,0.26258835246165596,synthetic_engineering_only_not_vitaldb_or_clinical_evidence
