row_type,contrast,formula,metric,seed,delta,seed_sd,favorable_seed_count,bootstrap_low,bootstrap_high,evidence_language
seed,P0_state,P0S1-P0S0,mae_0_1800,48,-4.103992427393722,,,,,
seed,P0_state,P0S1-P0S0,mae_0_1800,49,-6.760791765163155,,,,,
seed,P0_state,P0S1-P0S0,mae_0_1800,50,3.0089480361506933,,,,,
seed,P0_state,P0S1-P0S0,mae_0_1800,51,-3.0000985349703306,,,,,
seed,P0_state,P0S1-P0S0,mae_0_1800,52,-3.6782184919034338,,,,,
seed,P0_state,P0S1-P0S0,mae_0_600,48,-6.53789013071876,,,,,
seed,P0_state,P0S1-P0S0,mae_0_600,49,-12.594100338280372,,,,,
seed,P0_state,P0S1-P0S0,mae_0_600,50,8.253467478223373,,,,,
seed,P0_state,P0S1-P0S0,mae_0_600,51,-4.716906010908392,,,,,
seed,P0_state,P0S1-P0S0,mae_0_600,52,-5.868293779520889,,,,,
seed,P0_state,P0S1-P0S0,mae_600_1800,48,-2.8870435757312034,,,,,
seed,P0_state,P0S1-P0S0,mae_600_1800,49,-3.8441374786045444,,,,,
seed,P0_state,P0S1-P0S0,mae_600_1800,50,0.38668831511435275,,,,,
seed,P0_state,P0S1-P0S0,mae_600_1800,51,-2.141694797001299,,,,,
seed,P0_state,P0S1-P0S0,mae_600_1800,52,-2.583180848094704,,,,,
seed,P1_state,P1S1-P1S0,mae_0_1800,48,-4.0397231745994,,,,,
seed,P1_state,P1S1-P1S0,mae_0_1800,49,-10.519071161712404,,,,,
seed,P1_state,P1S1-P1S0,mae_0_1800,50,4.269042156136967,,,,,
seed,P1_state,P1S1-P1S0,mae_0_1800,51,-4.071456476418425,,,,,
seed,P1_state,P1S1-P1S0,mae_0_1800,52,-3.684465660653579,,,,,
seed,P1_state,P1S1-P1S0,mae_0_600,48,-6.554577223093519,,,,,
seed,P1_state,P1S1-P1S0,mae_0_600,49,-16.538819078527204,,,,,
seed,P1_state,P1S1-P1S0,mae_0_600,50,7.0024054109509155,,,,,
seed,P1_state,P1S1-P1S0,mae_0_600,51,-5.890794709223488,,,,,
seed,P1_state,P1S1-P1S0,mae_0_600,52,-5.270269441171796,,,,,
seed,P1_state,P1S1-P1S0,mae_600_1800,48,-2.7822961503523413,,,,,
seed,P1_state,P1S1-P1S0,mae_600_1800,49,-7.509197203305003,,,,,
seed,P1_state,P1S1-P1S0,mae_600_1800,50,2.9023605287299943,,,,,
seed,P1_state,P1S1-P1S0,mae_600_1800,51,-3.1617873600158926,,,,,
seed,P1_state,P1S1-P1S0,mae_600_1800,52,-2.8915637703944714,,,,,
seed,S0_preprocessing,P1S0-P0S0,mae_0_1800,48,-0.11616987661253209,,,,,
seed,S0_preprocessing,P1S0-P0S0,mae_0_1800,49,3.791556260944109,,,,,
seed,S0_preprocessing,P1S0-P0S0,mae_0_1800,50,-0.30213440757285426,,,,,
seed,S0_preprocessing,P1S0-P0S0,mae_0_1800,51,0.9349198222179025,,,,,
seed,S0_preprocessing,P1S0-P0S0,mae_0_1800,52,0.28127134824282685,,,,,
seed,S0_preprocessing,P1S0-P0S0,mae_0_600,48,-0.26426087724663283,,,,,
seed,S0_preprocessing,P1S0-P0S0,mae_0_600,49,3.917090219054284,,,,,
seed,S0_preprocessing,P1S0-P0S0,mae_0_600,50,2.3874257960927636,,,,,
seed,S0_preprocessing,P1S0-P0S0,mae_0_600,51,0.9179850175930806,,,,,
seed,S0_preprocessing,P1S0-P0S0,mae_0_600,52,-0.04409704279929372,,,,,
seed,S0_preprocessing,P1S0-P0S0,mae_600_1800,48,-0.04212437629548216,,,,,
seed,S0_preprocessing,P1S0-P0S0,mae_600_1800,49,3.728789281889026,,,,,
seed,S0_preprocessing,P1S0-P0S0,mae_600_1800,50,-1.6469145094056619,,,,,
seed,S0_preprocessing,P1S0-P0S0,mae_600_1800,51,0.9433872245303125,,,,,
seed,S0_preprocessing,P1S0-P0S0,mae_600_1800,52,0.44395554376389024,,,,,
seed,S1_preprocessing,P1S1-P0S1,mae_0_1800,48,-0.051900623818210256,,,,,
seed,S1_preprocessing,P1S1-P0S1,mae_0_1800,49,0.03327686439486088,,,,,
seed,S1_preprocessing,P1S1-P0S1,mae_0_1800,50,0.9579597124134196,,,,,
