row_type,profile,contrast,formula,seed,delta,seed_sd,favorable_seed_count,favorable,seed_values
seed,P0,cumulative_only,S_CUM-S0,48,-1.5990591138323573,,,True,
seed,P0,cumulative_only,S_CUM-S0,49,-4.697833246096627,,,True,
seed,P0,cumulative_only,S_CUM-S0,50,-1.5398871221675874,,,True,
seed,P0,cumulative_only,S_CUM-S0,51,-0.3395614383460561,,,True,
seed,P0,cumulative_only,S_CUM-S0,52,-1.355759461833851,,,True,
seed,P0,concentration_only,S_CONC-S0,48,-3.8871320069673247,,,True,
seed,P0,concentration_only,S_CONC-S0,49,-7.114710700510429,,,True,
seed,P0,concentration_only,S_CONC-S0,50,-4.477580407447748,,,True,
seed,P0,concentration_only,S_CONC-S0,51,-3.0776329329854826,,,True,
seed,P0,concentration_only,S_CONC-S0,52,-3.655478768449504,,,True,
seed,P0,combined_core,S_CORE-S0,48,-3.9118580979946196,,,True,
seed,P0,combined_core,S_CORE-S0,49,-7.378152580412291,,,True,
seed,P0,combined_core,S_CORE-S0,50,-3.813687550142518,,,True,
seed,P0,combined_core,S_CORE-S0,51,0.6011025075689487,,,False,
seed,P0,combined_core,S_CORE-S0,52,-3.807712849551978,,,True,
seed,P0,cumulative_given_concentrations,S_CORE-S_CONC,48,-0.02472609102729484,,,True,
seed,P0,cumulative_given_concentrations,S_CORE-S_CONC,49,-0.2634418799018614,,,True,
seed,P0,cumulative_given_concentrations,S_CORE-S_CONC,50,0.6638928573052301,,,False,
seed,P0,cumulative_given_concentrations,S_CORE-S_CONC,51,3.6787354405544312,,,False,
seed,P0,cumulative_given_concentrations,S_CORE-S_CONC,52,-0.15223408110247405,,,True,
seed,P0,concentration_given_cumulative,S_CORE-S_CUM,48,-2.3127989841622623,,,True,
seed,P0,concentration_given_cumulative,S_CORE-S_CUM,49,-2.680319334315664,,,True,
seed,P0,concentration_given_cumulative,S_CORE-S_CUM,50,-2.2738004279749306,,,True,
seed,P0,concentration_given_cumulative,S_CORE-S_CUM,51,0.9406639459150048,,,False,
seed,P0,concentration_given_cumulative,S_CORE-S_CUM,52,-2.451953387718127,,,True,
seed,P0,group_interaction,S_CORE-S_CONC-S_CUM+S0,48,1.574333022805063,,,False,
seed,P0,group_interaction,S_CORE-S_CONC-S_CUM+S0,49,4.434391366194765,,,False,
seed,P0,group_interaction,S_CORE-S_CONC-S_CUM+S0,50,2.2037799794728175,,,False,
seed,P0,group_interaction,S_CORE-S_CONC-S_CUM+S0,51,4.018296878900488,,,False,
seed,P0,group_interaction,S_CORE-S_CONC-S_CUM+S0,52,1.203525380731377,,,False,
seed,P0,redundant_recent,S1-S_CORE,48,-0.1921343293991029,,,True,
seed,P0,redundant_recent,S1-S_CORE,49,0.6173608152491354,,,False,
seed,P0,redundant_recent,S1-S_CORE,50,6.822635586293211,,,False,
seed,P0,redundant_recent,S1-S_CORE,51,-3.6012010425392793,,,True,
seed,P0,redundant_recent,S1-S_CORE,52,0.12949435764854433,,,False,
seed,P0,original_full_state,S1-S0,48,-4.103992427393722,,,True,
seed,P0,original_full_state,S1-S0,49,-6.760791765163155,,,True,
seed,P0,original_full_state,S1-S0,50,3.0089480361506933,,,False,
