field,field_a,field_b,finite_rate,mean,near_zero_fraction,pearson,q01,q05,q50,q95,q99,row_type,sd,spearman,zero_fraction
propofol_cp_mg_per_l,,,1.0,0.7372799728039859,0.005555555555555556,,0.08612962387502193,0.4381299614906311,0.7676240503787994,0.9383611470460892,0.9946739715337752,coordinate,0.16203344776811912,,0.005555555555555556
propofol_ce_mg_per_l,,,1.0,0.6919610500895134,0.005555555555555556,,0.0033424576860852538,0.13950895369052888,0.7579416632652283,0.9464024484157564,1.0058286798000333,coordinate,0.22790718162526755,,0.005555555555555556
remifentanil_cp_microgram_per_l,,,1.0,0.05045490396536615,0.0,,-0.36211955547332764,-0.36211955547332764,-0.36211955547332764,1.0607234954833984,2.155080723762512,coordinate,0.579095138628824,,0.0
remifentanil_ce_microgram_per_l,,,1.0,0.004940268250599426,0.0,,-0.44781994819641113,-0.44781994819641113,-0.44781994819641113,1.0220185399055481,1.322024176120758,coordinate,0.5793975136639883,,0.0
,propofol_cp_mg_per_l,propofol_ce_mg_per_l,,,,0.9516652368608917,,,,,,correlation,,0.9807854479112044,
,propofol_cp_mg_per_l,remifentanil_cp_microgram_per_l,,,,0.2958204975764751,,,,,,correlation,,0.3249122116627547,
,propofol_cp_mg_per_l,remifentanil_ce_microgram_per_l,,,,0.35211593288795184,,,,,,correlation,,0.33862192422614223,
,propofol_ce_mg_per_l,remifentanil_cp_microgram_per_l,,,,0.3206291474196942,,,,,,correlation,,0.3612225151775851,
,propofol_ce_mg_per_l,remifentanil_ce_microgram_per_l,,,,0.3879304460944465,,,,,,correlation,,0.37691534592863896,
,remifentanil_cp_microgram_per_l,remifentanil_ce_microgram_per_l,,,,0.8244927582712318,,,,,,correlation,,0.9741294257761086,
