row_type,profile,contrast,formula,seed,delta,seed_sd,favorable_seed_count,favorable,seed_values
seed,P0,S_PROP-S0,S_PROP-S0,48,-3.100210134635767,,,True,
seed,P0,S_PROP-S0,S_PROP-S0,49,-6.21758523914065,,,True,
seed,P0,S_PROP-S0,S_PROP-S0,50,-2.918869111209381,,,True,
seed,P0,S_PROP-S0,S_PROP-S0,51,-1.894934097487032,,,True,
seed,P0,S_PROP-S0,S_PROP-S0,52,-2.6373129928587185,,,True,
seed,P0,S_REMI-S0,S_REMI-S0,48,-0.38278938896513015,,,True,
seed,P0,S_REMI-S0,S_REMI-S0,49,-1.2008098707477703,,,True,
seed,P0,S_REMI-S0,S_REMI-S0,50,3.3760595275898293,,,False,
seed,P0,S_REMI-S0,S_REMI-S0,51,9.721702842729021,,,False,
seed,P0,S_REMI-S0,S_REMI-S0,52,-0.2709058043987431,,,True,
seed,P0,S_CP-S0,S_CP-S0,48,-2.3038452058742536,,,True,
seed,P0,S_CP-S0,S_CP-S0,49,-5.527406894475711,,,True,
seed,P0,S_CP-S0,S_CP-S0,50,-0.09016083298437394,,,True,
seed,P0,S_CP-S0,S_CP-S0,51,6.093439281282103,,,False,
seed,P0,S_CP-S0,S_CP-S0,52,-1.4380129638088492,,,True,
seed,P0,S_CE-S0,S_CE-S0,48,-3.433235757742017,,,True,
seed,P0,S_CE-S0,S_CE-S0,49,-6.845869638700176,,,True,
seed,P0,S_CE-S0,S_CE-S0,50,-3.016737318905158,,,True,
seed,P0,S_CE-S0,S_CE-S0,51,-2.6174031264762454,,,True,
seed,P0,S_CE-S0,S_CE-S0,52,-2.6788496361197702,,,True,
seed,P0,S_CONC-S0,S_CONC-S0,48,-3.8871320069673247,,,True,
seed,P0,S_CONC-S0,S_CONC-S0,49,-7.114710700510429,,,True,
seed,P0,S_CONC-S0,S_CONC-S0,50,-4.477580407447748,,,True,
seed,P0,S_CONC-S0,S_CONC-S0,51,-3.0776329329854826,,,True,
seed,P0,S_CONC-S0,S_CONC-S0,52,-3.655478768449504,,,True,
